No,IssueAccommodation,IssueDestination,IssueTransportation,IssueSeason,Arg. Label,Arg. Value,Text,Excited,Happy,Neutral,Sad,Angry,IssueAccommodationAgent,IssueDestinationAgent,IssueTransportationAgent,IssueSeasonAgent,IssueAccommodationHuman,IssueDestinationHuman,IssueTransportationHuman,IssueSeasonHuman,Domain,
154,Tent,Seoul,Car,Spring,"Any","0","what about using car ?",0.0,0.33,0.0,0.67,0.0,Tent,Boston,Subway,Winter,Tent,Seoul,Taxi,Spring,Holiday2,
156,Tent,Seoul,Car,Spring,"Hard Constraint-p-d","Seoul","i will insist seoul , sorry .",0.0,0.0,0.0,1.0,0.0,Tent,Boston,Subway,Winter,Tent,Seoul,Car,Spring,Holiday2,
158,Tent,Seoul,Car,Spring,"Rewarding-cc","Seoul","i understand that you want to stay in a tent . but , i want to stay in seoul , please concede a bit .",0.0,0.0,0.0,1.0,0.0,Tent,Amsterdam,Subway,Winter,Tent,Seoul,Car,Spring,Holiday2,
160,Tent,Seoul,Car,Summer,"Any","0","what about summer ?",0.0,0.0,0.41,0.59,0.0,Tent,Boston,Subway,Autumn,Tent,Seoul,Car,Spring,Holiday2,
162,Tent,Seoul,Subway,Spring,"Rewarding-cc,Rewarding-cc","Subway,Tent","we can use subway and stay in tent , if we go to seoul in spring .",0.0,0.0,0.72,0.28,0.0,Tent,Barcelona,Subway,Autumn,Tent,Seoul,Car,Summer,Holiday2,
164,Tent,Seoul,Bus,Summer,"Preference-p-d","Bus","bus is more preferable for me , thank you . let's go to seoul in summer ? we can stay in tent and use bus ?",0.0,0.83,0.17,0.0,0.0,Tent,Boston,Bus,Winter,Tent,Seoul,Subway,Spring,Holiday2,
166,Caravan,Milan,Bus,Summer,"Any","0","what about going milan in summer ? we can stay in caravan and use bus .",0.0,0.83,0.17,0.0,0.0,Caravan,Barcelona,Car,Summer,Tent,Seoul,Bus,Summer,Holiday2,
168,Caravan,Barcelona,Bus,Spring,"Rewarding-cc,Rewarding-cc","Barcelona,Spring","if we stay in caravan and use bus , i can go with you to barcelona in spring .",0.01,0.55,0.43,0.01,0.01,House,Barcelona,Subway,Spring,Caravan,Milan,Bus,Summer,Holiday2,
170,Caravan,Barcelona,Bus,Spring,"Hard Constraint-n-d","Boston","i hate boston . do not say it again .",0.0,0.0,0.0,0.0,1.0,Hotel,Boston,Car,Winter,Caravan,Barcelona,Bus,Spring,Holiday2,
172,House,Paris,Car,Winter,"Any","0","i want to go to paris in winter , we can drive from our house .",0.2,0.2,0.2,0.2,0.2,,,,,,,,,Holiday1,
174,House,Paris,Car,Spring,"Rewarding-cc","Spring","ok , let's go to spring as you wish , if we go to paris and stay in a house . we can drive our rented car .",0.0,0.0,1.0,0.0,0.0,Hostel,London,Subway,Spring,House,Paris,Car,Winter,Holiday1,
176,House,Paris,Car,Spring,"Preference-n-r","Istanbul","i am living in istanbul . let's go to paris instead .",0.0,0.0,0.9,0.1,0.0,Hotel,Istanbul,Bike,Autumn,House,Paris,Car,Spring,Holiday1,
178,House,Paris,Bus,Autumn,"Any","0","ok , let's use bus , go to paris in fall , stay in a house .",0.0,0.0,0.9,0.1,0.0,Caravan,Istanbul,Bike,Spring,House,Paris,Car,Spring,Holiday1,
180,House,Paris,Bus,Autumn,"Conditional Constraint-n-d","Istanbul;Bike","we can not ride bike in istanbul .",0.0,0.0,0.0,1.0,0.0,Caravan,Istanbul,Bike,Spring,House,Paris,Bus,Autumn,Holiday1,
182,House,Paris,Bike,Spring,"Conditional Constraint-p-r","Paris;Bike","let's go to paris in spring . we can use bike in paris streets . paris streets are more comfortable for bike than istanbul . we can also rent a house for accommodation .",0.0,0.0,0.61,0.39,0.0,Caravan,Istanbul,Bike,Spring,House,Paris,Bus,Autumn,Holiday1,
184,House,Paris,Taxi,Autumn,"Comparison,Hard Constraint-p-d","Spring,Paris","autumn vacation is more preferable than spring vacation for me . let's use taxi as use want . paris is my favorite city to see .",1.0,0.0,0.0,0.0,0.0,Hostel,Paris,Taxi,Autumn,House,Paris,Bike,Spring,Holiday1,
186,Caravan,Paris,Taxi,Autumn,"Any","0","what about staying in caravan ?",0.0,1.0,0.0,0.0,0.0,Hotel,Paris,Subway,Summer,House,Paris,Taxi,Autumn,Holiday1,
188,Caravan,London,Car,Autumn,"Hard Constraint-n-d","Tokyo","i hate tokyo too . what about london in fall ? we can stay in a caravan and use car .",0.0,1.0,0.0,0.0,0.0,Hostel,Tokyo,Car,Spring,Caravan,Paris,Taxi,Autumn,Holiday1,
190,Caravan,London,Taxi,Autumn,"Rewarding-cc","Taxi","ok , let's use taxi as you want , i want to go to london in fall . we can stay in a caravan .",0.0,0.0,1.0,0.0,0.0,Hostel,London,Taxi,Autumn,Caravan,London,Car,Autumn,Holiday1,
192,Caravan,Paris,Taxi,Autumn,"Rewarding-cc,Rewarding-cc,Preference-p-d,Preference-p-d","Taxi,Caravan,Autumn,Paris","autumn in paris will be perfect : ) let's stay in caravan and use taxi as you wish .",1.0,0.0,0.0,0.0,0.0,Hostel,Paris,Taxi,Autumn,Caravan,London,Taxi,Autumn,Holiday1,
194,Caravan,Paris,Taxi,Spring,"Any","0","let's go to paris in spring , we can use taxi and stay in a caravan .",0.0,0.0,1.0,0.0,0.0,Hotel,Paris,Subway,Summer,Caravan,Paris,Taxi,Autumn,Holiday1,
196,House,Amsterdam,Taxi,Summer,"Any","0","hi , i want to go to amsterdam in summer . we can stay in a house that we will rent . also , we can travel to wherever we want with taxi .",0.0,1.0,0.0,0.0,0.0,,,,,,,,,Holiday2,
198,House,Amsterdam,Taxi,Summer,"Preference-n-d,Hard Constraint-p-d","Winter,Summer","i have no free time in winter . i will be busy . the best option for me summer .",0.0,0.0,1.0,0.0,0.0,Tent,Seoul,Subway,Winter,House,Amsterdam,Taxi,Summer,Holiday2,
200,House,Amsterdam,Taxi,Summer,"Awareness Feedback","0","do not insist for winter , please .",0.0,0.0,0.0,1.0,0.0,Tent,Seoul,Subway,Winter,House,Amsterdam,Taxi,Summer,Holiday2,
202,House,Amsterdam,Taxi,Summer,"Preference-n-r","Winter","in winter , i have no free time . i want to go in summer to holland . we can use taxi and stay in a house .",0.0,0.0,0.0,1.0,0.0,Tent,Seoul,Subway,Winter,House,Amsterdam,Taxi,Summer,Holiday2,
204,House,Amsterdam,Subway,Summer,"Rewarding-cc","Subway","i can use subway if we go in summer to amsterdam and stay in a house .",0.0,0.0,0.25,0.75,0.0,Tent,Seoul,Subway,Winter,House,Amsterdam,Taxi,Summer,Holiday2,
206,House,Barcelona,Car,Summer,"Any","0","what about barcelona ? we can rent a car in there .",0.0,0.0,0.25,0.75,0.0,Tent,Milan,Subway,Winter,House,Amsterdam,Subway,Summer,Holiday2,
208,House,Barcelona,Car,Summer,"Threatening","0","i can not concede from summer .",0.0,0.0,0.0,0.0,1.0,Tent,Milan,Subway,Autumn,House,Barcelona,Car,Summer,Holiday2,
210,House,Barcelona,Car,Summer,"Preference-n-d","Winter","in winter i have no free time .",0.0,0.0,0.0,1.0,0.0,Hostel,Seoul,Subway,Winter,House,Barcelona,Car,Summer,Holiday2,
212,House,Seoul,Car,Summer,"Preference-n-r,Preference-p-d,Rewarding-cc","Tent,Car,Seoul","tent is not comfortable for me . if we go on summer , i can accept using car in seoul .",0.0,0.0,0.0,1.0,0.0,Tent,Seoul,Car,Spring,House,Barcelona,Car,Summer,Holiday2,
214,House,Milan,Car,Summer,"Comparison","Seoul","milan is better than seoul for me .",0.02,0.42,0.4,0.14,0.02,Caravan,Milan,Subway,Spring,House,Seoul,Car,Summer,Holiday2,
216,House,Seoul,Car,Summer,"Preference-n-d,Preference-n-r","Spring,Subway","i can not go in spring . also , i am claustrophobic , i can not use subway , sorry .",0.0,0.38,0.36,0.26,0.0,Tent,Seoul,Subway,Spring,House,Milan,Car,Summer,Holiday2,
218,House,Seoul,Car,Summer,"Preference-n-d","Winter","i can not go in winter . we can stay in a house in summer . let's go to seoul and use car .",0.0,0.32,0.3,0.39,0.0,Tent,Seoul,Subway,Winter,House,Seoul,Car,Summer,Holiday2,
220,House,Seoul,Car,Summer,"Preference-n-d,Awareness Feedback","Seoul,0","i do not want seoul , you want it .",0.0,0.18,0.16,0.34,0.31,Tent,Seoul,Subway,Winter,House,Seoul,Car,Summer,Holiday2,
222,House,Amsterdam,Taxi,Summer,"Any","0","i want to go to amsterdam in summer . we can stay in a house , and we can use taxi in that city .",0.0,0.0,0.0,0.0,1.0,Tent,Seoul,Subway,Winter,House,Seoul,Car,Summer,Holiday2,
224,House,Barcelona,Bike,Summer,"Any","0","what about riding bike in barcelona ?",0.0,0.0,0.0,0.71,0.29,Tent,Seoul,Subway,Spring,House,Amsterdam,Taxi,Summer,Holiday2,
226,House,Barcelona,Bike,Summer,"Hard Constraint-n-d,Awareness Feedback","Winter,0","i have no free time in winter , do not insist anymore !",0.0,0.0,0.0,0.0,1.0,Tent,Seoul,Subway,Winter,House,Barcelona,Bike,Summer,Holiday2,
228,House,Barcelona,Car,Summer,"Any","0","what about driving car in barcelona ? we can stay in a house in summer ?",0.0,0.0,0.0,1.0,0.0,Tent,Seoul,Subway,Summer,House,Barcelona,Bike,Summer,Holiday2,
230,House,Milan,Car,Summer,"Rewarding-cc,Rewarding-cc","Milan,Car","ok , let's go to milan and drive car as you wish , if we go on summer and stay in a house .",0.0,0.0,0.0,1.0,0.0,Hostel,Milan,Car,Spring,House,Barcelona,Car,Summer,Holiday2,
